x0,x1,x2,y,x3,x4,x5,x6,x7,x8
A2,A17,A1,163,3,0,,1,0.0,
A0,A25,A0,50,3,0,,1,129.0,
A0,A15,A1,175,2,1,0.05,1,0.0,353.0
A2,A33,A0,80,2,12,0.34,2,49.0,352.2857142857143
A0,A15,A1,450,1,12,2.79,1,334.0,431.0
A1,A23,A1,175,6,29,0.83,1,55.0,431.57142857142856
A0,A1,A0,43,30,0,,5,,
A2,A50,A1,125,25,43,0.42,1,102.0,429.0
A1,A47,A0,389,1,0,,1,296.0,
A2,A17,A1,290,4,12,0.2,1,359.0,431.85714285714283
A1,A2,A0,60,7,82,2.34,12,152.0,428.14285714285717
A0,A51,A2,26,2,5,1.83,1,0.0,423.57142857142856
A0,A52,A0,34,1,7,0.17,2,349.0,334.85714285714283
A1,A53,A0,34,28,0,,1,0.0,
A2,A35,A1,350,5,0,,2,0.0,
A2,A13,A1,160,7,5,0.09,1,0.0,275.14285714285717
A0,A15,A0,100,2,21,2.75,1,,431.0
A2,A17,A0,75,3,48,1.64,4,9.0,429.2857142857143
A2,A44,A1,149,3,8,0.34,2,0.0,424.14285714285717
A1,A54,A0,50,1,1,0.02,5,183.0,228.0
A0,A1,A0,65,2,7,2.02,7,272.0,430.0
A2,A38,A1,239,30,0,,121,186.0,
A2,A44,A1,155,1,0,,2,244.0,
A4,A55,A1,250,2,21,0.26,4,,425.2857142857143
A1,A47,A0,35,14,1,0.02,1,0.0,250.71428571428572
A0,A1,A1,160,3,149,2.61,2,303.0,430.0
A0,A1,A1,170,2,213,6.9,3,37.0,430.7142857142857
A2,A44,A1,125,7,0,,1,,
A1,A56,A0,70,3,1,0.49,1,59.0,423.42857142857144
A0,A15,A1,345,3,13,0.41,2,,426.0
A1,A23,A0,48,1,6,2.9,1,158.0,426.57142857142856
A0,A57,A1,70,15,2,0.03,1,0.0,252.71428571428572
A0,A18,A0,77,14,9,0.16,1,0.0,347.57142857142856
A1,A58,A1,105,3,71,3.08,1,285.0,425.14285714285717
A0,A59,A1,90,2,3,0.1,1,,375.0
A2,A7,A1,220,2,59,1.47,1,185.0,431.85714285714283
A1,A3,A0,55,2,16,4.36,1,,431.0
A2,A21,A1,250,2,72,5.82,1,96.0,426.0
A0,A60,A0,99,2,46,1.15,1,66.0,429.7142857142857
A0,A15,A0,66,3,4,0.18,1,0.0,402.57142857142856
A1,A23,A1,195,18,0,,2,347.0,
A1,A9,A0,60,1,0,,1,34.0,
A2,A61,A1,150,7,9,0.22,1,190.0,412.0
A0,A62,A0,75,7,0,,1,,
A0,A63,A1,99,3,66,1.05,5,365.0,426.0
A0,A64,A1,150,4,1,0.03,3,,261.2857142857143
A2,A13,A1,190,28,28,0.41,1,283.0,426.57142857142856
A0,A12,A1,200,4,25,0.58,1,6.0,425.85714285714283
A2,A26,A1,133,30,7,0.22,91,311.0,407.7142857142857
A2,A13,A1,300,2,45,0.47,3,31.0,421.0
A2,A21,A0,50,30,3,0.3,2,34.0,428.57142857142856
A0,A18,A1,150,3,0,,1,,
A2,A38,A0,59,6,3,0.17,1,0.0,366.0
A0,A52,A0,40,1,1,0.83,2,37.0,427.14285714285717
A0,A57,A0,48,30,0,,25,,
A1,A5,A0,55,10,0,,1,0.0,
A2,A35,A1,85,1,0,,1,0.0,
A2,A6,A0,250,3,1,0.05,1,0.0,350.0
A2,A6,A1,134,1,81,2.96,2,0.0,414.14285714285717
A0,A16,A1,350,3,58,1.21,1,81.0,428.0
A2,A45,A1,165,2,25,0.41,1,0.0,426.0
A2,A21,A1,129,3,5,0.11,1,0.0,378.42857142857144
A0,A22,A1,70,6,70,2.12,1,,431.2857142857143
A2,A6,A1,195,6,6,2.9,1,12.0,431.0
A2,A13,A0,150,1,2,0.04,1,0.0,229.85714285714286
A0,A57,A2,39,1,12,0.34,1,0.0,284.2857142857143
A0,A65,A1,90,7,0,,1,0.0,
A2,A66,A1,139,3,1,0.04,1,0.0,331.14285714285717
A0,A29,A1,130,2,1,0.03,1,0.0,273.7142857142857
A2,A67,A1,130,7,0,,1,0.0,
A2,A35,A0,95,1,13,0.32,2,,372.57142857142856
A0,A1,A0,50,1,0,,1,0.0,
A0,A16,A1,55,3,53,1.73,2,243.0,428.2857142857143
A4,A68,A1,165,2,51,3.25,1,0.0,431.14285714285717
A2,A17,A0,80,2,86,2.43,3,63.0,429.7142857142857
A1,A3,A0,42,10,3,0.5,1,,426.85714285714283
A0,A22,A0,50,2,23,0.42,1,0.0,418.0
A2,A35,A1,138,7,4,0.17,1,,387.0
A0,A0,A1,46,30,25,1.02,1,,381.14285714285717
A1,A5,A1,130,2,3,0.47,2,0.0,405.57142857142856
A0,A36,A0,130,2,8,0.11,1,0.0,377.85714285714283
A0,A62,A0,45,7,2,0.1,1,0.0,367.85714285714283
A0,A63,A1,179,2,101,3.53,1,,431.7142857142857
A2,A26,A1,145,2,2,2.0,1,37.0,430.7142857142857
A0,A12,A0,85,5,45,1.79,5,,426.14285714285717
A1,A69,A1,175,1,17,3.75,7,160.0,431.2857142857143
A0,A12,A1,225,5,7,0.29,1,4.0,405.14285714285717
A2,A70,A1,299,1,7,4.12,1,347.0,431.0
A0,A1,A1,78,30,81,1.33,3,188.0,387.57142857142856
A2,A6,A1,159,30,0,,1,333.0,
A0,A1,A0,44,2,26,4.94,3,118.0,430.14285714285717
A0,A71,A1,130,2,45,1.05,1,,430.85714285714283
A2,A72,A1,219,30,1,0.07,23,362.0,374.42857142857144
A3,A73,A0,75,1,127,4.45,1,134.0,430.85714285714283
A0,A22,A0,65,2,69,2.08,2,60.0,430.0
A0,A15,A0,55,30,0,,1,87.0,
A0,A15,A1,250,7,33,0.7,1,0.0,302.7142857142857
A3,A74,A1,90,5,1,0.16,1,157.0,405.2857142857143
A2,A17,A0,110,1,23,1.0,1,146.0,427.85714285714283
A0,A16,A0,30,1,1,1.0,1,1.0,432.0
A2,A7,A1,115,3,8,0.15,1,183.0,320.2857142857143
A0,A1,A1,140,2,5,0.12,1,0.0,353.0
A2,A17,A0,100,1,0,,1,341.0,
A0,A71,A0,80,14,0,,1,192.0,
A2,A41,A1,375,5,0,,1,0.0,
A0,A15,A0,64,21,0,,1,,
A2,A26,A0,65,4,10,0.46,1,0.0,348.7142857142857
A0,A16,A0,70,3,8,0.95,2,,424.85714285714283
A2,A21,A0,149,2,5,0.3,2,0.0,365.57142857142856
A2,A19,A0,39,7,13,0.36,6,,423.7142857142857
A2,A44,A0,500,1,0,,2,0.0,
A0,A0,A0,53,1,88,3.59,12,61.0,430.2857142857143
A0,A15,A0,79,1,11,0.42,3,0.0,333.57142857142856
A0,A18,A0,95,2,10,0.22,1,22.0,428.7142857142857
A2,A26,A1,150,31,1,0.67,33,338.0,425.7142857142857
A0,A1,A1,149,2,24,4.8,1,,431.85714285714283
A2,A14,A1,700,1,0,,1,0.0,
A0,A1,A0,45,2,1,0.12,1,0.0,396.85714285714283
A2,A17,A1,400,5,0,,2,,
A2,A21,A0,150,2,28,2.97,1,0.0,430.14285714285717
A2,A4,A0,84,2,143,2.13,1,311.0,422.7142857142857
A1,A75,A0,150,1,0,,1,89.0,
A0,A32,A0,95,2,0,,1,0.0,
A2,A38,A0,113,3,131,4.21,3,12.0,431.42857142857144
A0,A1,A1,150,4,70,1.54,1,293.0,430.2857142857143
A1,A2,A0,60,1,38,2.68,5,,420.85714285714283
A2,A7,A0,75,1,91,2.95,1,188.0,374.0
A0,A59,A0,90,1,0,,1,0.0,
A2,A6,A1,150,30,0,,20,332.0,
A2,A26,A0,74,3,60,1.0,5,169.0,430.42857142857144
A2,A14,A1,175,2,7,4.88,1,341.0,430.2857142857143
A2,A6,A1,360,1,13,0.28,1,188.0,250.85714285714286
A2,A45,A1,160,3,36,2.14,3,266.0,429.85714285714283
A0,A15,A0,60,2,26,6.5,2,21.0,430.7142857142857
A2,A72,A1,155,5,2,0.05,1,0.0,278.42857142857144
A3,A73,A0,42,2,62,2.76,5,1.0,430.0
A0,A71,A0,100,7,0,,1,0.0,
A0,A16,A0,45,30,16,0.43,4,334.0,417.85714285714283
A1,A47,A0,60,7,0,,1,365.0,
A0,A62,A0,50,7,1,0.07,2,0.0,371.85714285714283
A2,A50,A1,145,2,3,0.79,1,0.0,417.85714285714283
A2,A67,A1,165,1,3,0.46,1,,430.85714285714283
A0,A1,A0,100,2,34,2.45,1,59.0,430.14285714285717
A2,A17,A0,49,16,1,0.04,1,0.0,334.0
A2,A35,A1,110,30,54,3.4,5,193.0,426.0
A0,A36,A1,201,30,66,1.78,2,159.0,428.85714285714283
A0,A76,A0,49,2,126,4.82,2,45.0,431.57142857142856
A2,A14,,99,1,0,,1,0.0,
A2,A14,A1,140,14,51,0.7,1,298.0,357.2857142857143
A2,A77,A2,70,3,1,0.04,2,0.0,311.85714285714283
A1,A78,A0,80,1,66,7.56,3,48.0,431.14285714285717
A2,A6,,280,1,0,,1,0.0,
A0,A18,A1,200,1,19,2.94,1,285.0,430.7142857142857
A0,A15,A1,145,7,8,0.08,1,0.0,166.57142857142858
A2,A17,A0,70,1,16,1.22,6,32.0,405.14285714285717
A0,A32,A1,95,2,11,0.3,1,0.0,420.0
A0,A15,A1,110,6,18,0.52,1,0.0,428.7142857142857
A2,A26,A1,280,2,0,,1,0.0,
A2,A40,A1,175,4,2,0.15,1,3.0,384.0
A0,A15,A0,110,2,0,,1,0.0,
A2,A14,A1,250,3,28,1.03,1,51.0,429.0
A0,A59,,83,3,14,0.31,1,,301.0
A2,A33,,45,2,2,2.0,1,180.0,429.2857142857143
A2,A44,A1,999,2,54,1.49,1,58.0,429.2857142857143
A2,A44,A1,350,3,0,,1,51.0,
A2,A35,A1,140,1,144,3.63,1,98.0,429.85714285714283
A2,A14,A0,100,5,8,0.26,1,,427.57142857142856
A2,A41,A0,100,1,0,,9,301.0,
A2,A6,A0,150,1,0,,3,362.0,
A2,A17,A0,60,1,2,0.04,1,0.0,233.14285714285714
A0,A16,A0,85,3,3,0.13,2,281.0,353.42857142857144
A0,A1,A1,160,2,45,1.61,2,,357.14285714285717
A1,A79,A0,79,6,6,0.65,1,,421.57142857142856
A2,A19,A0,66,1,2,2.0,1,60.0,430.85714285714283
A2,A6,A1,229,30,0,,23,149.0,
A2,A17,A0,60,1,245,3.6,3,336.0,431.85714285714283
A2,A28,A1,200,4,11,0.14,1,259.0,320.7142857142857
A2,A19,A0,36,28,4,0.47,1,284.0,426.7142857142857
A1,A79,A0,55,2,58,3.81,1,9.0,430.42857142857144
A2,A13,A0,80,1,1,0.02,1,0.0,240.14285714285714
A2,A7,A0,70,1,0,,1,0.0,
A1,A47,A1,133,20,9,1.27,1,21.0,402.85714285714283
A1,A53,A0,40,1,91,2.82,8,162.0,430.85714285714283
A2,A13,A1,190,1,2,0.05,1,,286.14285714285717
A2,A17,,848,1,19,1.89,3,355.0,425.85714285714283
A0,A16,A0,50,1,1,0.13,1,66.0,398.14285714285717
A2,A45,A1,219,1,18,4.46,1,292.0,431.14285714285717
A2,A26,A1,500,1,2,1.46,1,151.0,429.42857142857144
A2,A21,A0,150,3,0,,1,0.0,
A0,A1,A1,50,1,49,2.65,1,47.0,431.57142857142856
A0,A57,A1,220,6,7,0.23,2,5.0,387.2857142857143
A1,A47,A0,65,1,5,0.13,1,,353.14285714285717
A2,A13,A1,150,2,5,0.13,1,0.0,294.57142857142856
A0,A32,A1,75,2,10,0.26,1,362.0,426.0
A1,A80,A0,90,2,11,1.24,2,89.0,426.0
A2,A44,A1,120,1,0,,1,,
A2,A44,A1,175,30,2,0.15,10,161.0,388.2857142857143
A2,A19,A1,150,7,0,,1,,
A2,A72,A1,120,5,2,0.15,1,0.0,375.0
A2,A7,A0,79,3,56,1.1,2,,426.0
A0,A15,A1,329,4,1,0.16,1,0.0,405.2857142857143
A0,A48,A0,85,365,1,0.14,4,189.0,402.7142857142857
A2,A30,A0,325,2,5,0.26,1,0.0,401.85714285714283
A0,A15,A0,50,3,2,0.05,1,0.0,248.14285714285714
A2,A6,A1,1500,30,0,,1,87.0,
A2,A19,A0,98,3,4,0.17,2,0.0,388.14285714285717
A2,A26,A1,150,30,3,0.25,13,147.0,429.0
A1,A81,A0,80,1,129,5.19,3,180.0,429.85714285714283
A2,A35,A1,150,2,8,2.24,1,33.0,430.85714285714283
A0,A15,A1,120,6,1,0.16,2,,405.2857142857143
A0,A82,A1,113,5,77,1.99,1,44.0,429.57142857142856
A2,A6,A1,289,2,4,0.13,1,0.0,301.0
A2,A19,A0,45,3,13,0.21,1,,248.71428571428572
A0,A15,A0,80,5,5,0.11,2,0.0,237.0
A0,A15,A1,135,4,54,1.17,1,158.0,429.7142857142857
A2,A33,A0,50,5,2,0.08,1,0.0,320.7142857142857
A0,A0,A1,90,3,20,4.96,1,,428.42857142857144
A2,A4,A1,175,3,2,0.04,1,0.0,258.7142857142857
A2,A6,A1,190,1,195,2.83,1,69.0,430.14285714285717
A2,A83,A1,799,3,6,0.66,1,325.0,421.0
A2,A44,A1,170,6,35,2.48,1,,430.85714285714283
A2,A6,A1,200,3,170,4.99,1,,431.14285714285717
A0,A15,A0,100,1,1,0.02,2,44.0,231.85714285714286
A0,A1,A1,100,3,21,0.23,3,43.0,430.0
A0,A57,A0,120,2,0,,3,280.0,
A0,A42,A0,51,3,0,,1,317.0,
A1,A84,A0,62,1,129,5.74,3,354.0,430.57142857142856
A2,A67,A1,200,3,5,0.38,1,0.0,390.85714285714283
A1,A47,A0,50,1,10,2.13,1,125.0,430.85714285714283
A2,A44,A1,169,18,54,0.57,1,98.0,431.2857142857143
A2,A30,A1,140,2,6,0.41,1,,431.14285714285717
A2,A6,A0,99,2,35,0.69,2,28.0,431.0
A0,A8,A0,50,2,31,2.04,1,0.0,431.85714285714283
A2,A17,A0,70,1,6,0.11,1,,237.0
A0,A1,A0,50,7,3,0.06,1,,300.42857142857144
A2,A26,A1,275,2,9,0.24,1,0.0,333.7142857142857
A0,A1,,40,2,101,4.89,3,8.0,431.0
A1,A84,A0,70,1,0,,2,365.0,
A2,A7,A1,250,1,7,0.9,1,78.0,431.0
A2,A13,A1,90,90,0,,8,0.0,
A0,A12,A1,275,2,4,2.67,1,27.0,430.85714285714283
A2,A77,A1,80,1,1,0.02,1,0.0,253.0
A2,A13,A1,374,1,31,0.69,5,188.0,313.57142857142856
A0,A85,A1,130,4,9,1.09,1,70.0,430.14285714285717
A0,A1,A1,140,28,0,,4,173.0,
A0,A59,A0,38,10,1,0.08,1,0.0,380.57142857142856
A2,A41,A1,325,30,0,,232,362.0,
A3,A86,A0,68,2,41,0.74,13,365.0,405.14285714285717
A2,A44,A1,280,3,21,0.34,1,,289.2857142857143
A2,A7,A0,91,1,4,0.14,1,0.0,322.2857142857143
A2,A38,A1,321,3,4,4.0,1,65.0,430.85714285714283
A2,A26,A1,115,35,1,0.09,2,21.0,383.14285714285717
A2,A6,A1,150,2,4,0.59,1,1.0,429.7142857142857
A0,A16,A1,110,2,20,2.56,1,,431.0
A2,A19,A0,58,1,1,0.03,2,,286.2857142857143
A2,A6,A0,140,1,4,0.74,2,,418.7142857142857
A1,A5,A1,125,3,21,0.58,1,345.0,430.14285714285717
A2,A35,A2,35,14,1,0.21,28,320.0,411.57142857142856
A0,A25,A0,100,2,4,1.85,4,360.0,429.85714285714283
A0,A12,A0,98,1,1,0.04,1,0.0,322.57142857142856
A0,A32,A0,50,14,1,0.03,1,,279.7142857142857
A0,A16,,122,3,48,0.87,1,256.0,427.14285714285717
A2,A6,A0,155,1,189,3.86,11,245.0,429.85714285714283
A0,A52,A0,175,2,4,2.18,3,43.0,429.14285714285717
A3,A49,A2,26,1,18,0.78,2,342.0,421.14285714285717
A1,A5,A0,40,4,23,0.73,1,,421.14285714285717
A2,A44,A1,270,4,8,0.19,1,0.0,367.14285714285717
A2,A13,A0,125,5,38,1.8,1,54.0,431.0
A2,A70,A1,459,1,5,4.29,1,,431.85714285714283
A0,A1,A0,77,2,74,1.88,1,,430.7142857142857
A2,A7,A1,200,3,24,1.94,1,,430.7142857142857
A1,A79,A0,62,9,0,,2,365.0,
A2,A26,A1,95,1,89,3.72,1,0.0,429.57142857142856
A0,A15,A0,42,3,3,1.3,2,5.0,430.2857142857143
A0,A16,A1,100,1,1,0.09,1,0.0,387.0
A2,A13,A0,180,1,3,0.63,1,,424.14285714285717
A2,A13,A0,80,5,3,0.65,1,188.0,422.14285714285717
A0,A0,A0,70,3,8,0.17,1,0.0,289.0
A2,A72,A1,170,29,0,,96,324.0,
A2,A6,A1,175,3,4,0.29,1,0.0,388.57142857142856
A0,A16,A1,184,1,29,1.12,1,,423.14285714285717
A0,A1,A0,50,15,2,0.06,1,0.0,300.85714285714283
A2,A13,A1,168,2,0,,1,46.0,
A0,A36,A0,48,2,131,3.88,1,333.0,426.7142857142857
A0,A1,A0,56,2,43,1.61,2,110.0,430.85714285714283
A0,A15,A1,125,6,11,0.66,1,,426.0
A2,A44,A1,370,3,9,0.96,8,316.0,424.2857142857143
A0,A1,A0,62,1,27,1.69,7,248.0,430.14285714285717
A0,A15,A1,250,1,0,,1,0.0,
A2,A4,A0,65,3,12,1.43,2,,430.14285714285717
A0,A16,A0,75,20,1,0.11,1,,394.57142857142856
A2,A50,A1,190,2,119,2.72,1,78.0,429.85714285714283
A2,A4,A1,200,2,24,1.14,1,20.0,431.0
A2,A45,A0,70,2,8,0.26,1,,430.85714285714283
A4,A87,A0,95,2,234,3.74,1,264.0,430.85714285714283
A0,A16,A0,48,4,6,0.32,1,,421.2857142857143
A2,A45,A1,199,10,0,,1,,
A2,A13,,116,1,43,0.63,1,0.0,383.2857142857143
A2,A4,A1,1100,1,0,,6,0.0,
A2,A45,A1,125,2,0,,2,0.0,
A2,A26,A1,300,2,11,1.07,1,8.0,429.85714285714283
A2,A26,A0,250,1,0,,3,0.0,
A0,A1,A1,125,1,61,2.83,1,,429.2857142857143
A2,A7,A0,65,365,1,0.57,1,0.0,424.57142857142856
A0,A59,A1,79,5,48,1.64,1,,412.7142857142857
A2,A77,A1,110,1,3,0.09,1,0.0,302.14285714285717
A2,A38,A1,239,30,2,0.09,121,186.0,375.85714285714283
A1,A3,A0,62,1,296,3.92,2,234.0,430.7142857142857
A0,A8,A1,115,3,6,0.1,1,0.0,337.57142857142856
A2,A14,A1,168,30,4,1.85,1,,428.85714285714283
A2,A17,A1,100,6,5,0.31,1,0.0,374.0
A2,A7,A1,125,2,7,0.15,1,0.0,249.71428571428572
A2,A4,A1,255,3,4,0.33,1,0.0,410.85714285714283
A0,A62,A1,95,1,9,9.0,1,106.0,432.0
A0,A1,A0,50,6,1,0.18,2,0.0,408.0
A2,A14,A1,139,3,4,0.08,1,0.0,284.0
A2,A7,A1,210,6,31,1.68,2,276.0,429.57142857142856
A2,A72,A1,200,60,2,0.29,2,0.0,405.2857142857143
A2,A77,A0,45,1,76,2.83,2,,427.85714285714283
A2,A21,A1,280,2,29,0.59,1,,405.14285714285717
A0,A15,A0,150,1,0,,1,364.0,
A2,A33,A1,99,3,4,0.18,1,0.0,368.85714285714283
A1,A47,A1,120,3,80,1.74,2,69.0,431.14285714285717
A4,A88,A0,65,1,37,1.41,3,356.0,420.0
A1,A47,A0,77,3,48,1.72,3,332.0,429.7142857142857
A2,A44,A0,425,1,1,1.0,14,,427.7142857142857
A2,A13,A0,123,3,176,3.39,3,253.0,429.57142857142856
A2,A35,A1,130,2,0,,1,0.0,
A0,A12,A1,159,30,0,,52,349.0,
A0,A10,A1,175,3,0,,1,0.0,
A1,A5,A1,110,21,0,,1,0.0,
A0,A0,A1,575,3,33,1.12,4,259.0,430.14285714285717
A2,A13,A0,130,2,3,0.06,1,0.0,277.2857142857143
A0,A25,A2,36,30,2,0.07,4,365.0,351.0
A2,A6,A1,160,3,20,0.5,1,0.0,322.0
A2,A6,A0,124,5,263,4.1,2,236.0,426.85714285714283
A0,A15,A1,165,5,0,,1,20.0,
A0,A10,,100,1,0,,1,0.0,
A1,A23,A0,60,4,2,0.73,1,51.0,424.2857142857143
A2,A21,A1,125,5,2,0.08,1,,334.85714285714283
A2,A26,A1,149,6,0,,1,82.0,
A2,A21,A0,180,1,27,0.59,2,0.0,308.2857142857143
A2,A35,A0,123,1,10,4.35,3,0.0,429.14285714285717
A1,A5,A0,49,15,0,,1,341.0,
A2,A50,A0,75,1,0,,1,0.0,
A2,A45,A0,95,28,1,0.03,1,72.0,265.85714285714283
A0,A16,A1,163,3,20,1.59,3,309.0,427.0
A1,A2,A1,99,3,95,3.52,1,,426.57142857142856
